id,has_availability,availability_30,availability_60,availability_90,availability_365
3896546,t,0,0,0,177
2659893,t,0,0,0,0
2675381,t,0,0,0,0
3899955,t,1,1,1,1
3900636,t,3,7,11,157
3901757,t,15,24,50,321
3902773,t,6,8,11,151
3902889,t,11,36,58,324
3907554,t,22,38,58,316
3910004,t,5,10,15,136
3910405,t,9,12,20,154
3910618,t,8,12,16,144
2675556,t,10,16,26,239
2689045,t,29,38,44,260
2691782,t,14,20,47,297
2707363,t,25,55,82,341
2729922,t,24,35,47,257
2747558,f,0,0,0,0
2750778,t,5,11,15,252
2761058,t,15,19,24,37
3912953,t,0,0,0,0
3915339,t,0,0,0,0
3929749,,0,0,0,0
3930080,,0,0,0,0
3930330,,0,0,0,0
3930559,,0,0,0,0
3930925,,0,0,0,0
3936940,t,9,33,58,326
3940180,t,10,33,56,167
3957096,,0,0,0,0
3967347,t,19,30,39,221
3975853,t,26,46,73,271
2761419,t,2,2,15,35
2766251,t,17,27,31,274
2766311,t,23,31,38,300
2772925,,0,0,0,0
2806663,t,0,0,0,250
3984639,t,22,37,61,263
3991998,t,17,34,54,253
4010392,t,0,0,0,0
4013512,t,27,54,84,283
4020719,t,26,40,56,238
4021422,t,8,28,54,163
4021975,t,12,30,50,252
4023282,t,0,1,1,68
4027304,t,0,0,0,0
4037558,t,4,19,42,222
2821770,t,1,1,1,1
2821866,t,10,20,28,240
2828877,f,0,0,0,0
4415855,t,29,59,89,349
4415976,t,14,21,39,203
4494176,t,23,35,47,272
4494431,t,6,10,13,222
4500216,t,30,60,90,299
4586119,t,15,27,45,238
4043215,t,0,0,0,0
4043481,t,4,9,16,232
4043511,t,4,9,16,238
4050773,t,4,9,16,238
4058828,t,23,30,46,252
4070944,t,23,43,54,273
4083992,t,26,34,34,105
4091889,t,29,56,86,281
4116934,,0,0,0,0
4588483,t,11,24,48,223
4591311,t,19,29,32,240
4142447,t,26,51,81,281
4178954,t,2,2,2,2
4179979,t,4,4,4,4
4180180,t,4,4,4,4
4181301,t,4,4,4,4
4202471,t,4,4,4,4
4233521,t,2,10,25,295
4238587,t,0,0,0,0
4591622,t,14,18,21,224
4606080,t,10,15,21,232
4609308,t,29,53,73,330
4238648,t,1,1,1,1
4278355,t,25,39,59,263
4281511,t,13,28,41,299
4287284,t,26,50,78,334
4295305,,0,0,0,0
4321611,t,20,29,43,253
4330965,t,12,29,56,236
4337394,t,29,59,89,319
4634647,t,27,36,55,306
4658937,t,0,0,0,0
4664676,t,10,38,68,310
4682824,t,8,11,15,182
4348561,t,15,25,33,184
4348703,t,0,0,0,126
4355114,t,29,48,70,327
4376840,t,3,5,16,263
4410912,t,19,22,28,238
5535020,t,7,21,40,186
5555465,t,15,20,29,171
5557541,t,20,35,48,319
5564802,t,25,37,49,239
5565358,t,26,45,64,262
4722622,t,9,9,29,280
4742283,t,1,1,1,1
4793404,t,4,11,22,142
4800002,t,5,11,28,189
4801285,t,1,2,3,169
5577090,t,13,37,41,211
5577233,t,6,12,27,147
5598123,t,0,0,0,0
5610891,,0,0,0,0
5634327,t,0,0,0,0
5652195,t,9,34,64,338
5682890,t,20,29,37,248
5684880,t,30,45,67,302
5691828,t,0,0,0,0
5695121,t,7,10,21,186
4845090,t,15,21,36,243
4862493,t,12,21,34,252
4888144,t,5,12,17,160
5695138,t,0,0,0,0
5716817,t,0,0,0,0
5752278,t,0,0,0,0
5756330,t,20,43,69,337
5760491,t,27,57,87,298
5804599,t,18,42,42,169
5824521,t,8,19,32,140
5836251,t,5,14,25,262
5845099,t,10,12,18,251
5849647,t,6,15,20,246
5872863,t,5,11,14,204
5883347,t,15,33,63,251
5904279,t,0,0,0,0
5927865,t,0,0,6,211
5930468,t,11,25,43,308
5946303,t,11,24,38,305
5946314,t,30,56,83,145
5952517,t,0,0,0,67
4898509,t,28,45,54,283
4898803,t,10,15,26,156
4944536,t,2,4,14,197
5962998,t,0,0,0,0
5965858,t,0,0,6,30
5975414,t,18,39,54,301
5979282,t,6,36,66,331
5984513,t,29,59,89,364
5998549,t,24,54,59,334
5998995,t,7,33,63,318
6004502,t,0,0,0,0
6004674,t,23,46,76,101
4986513,t,25,55,82,356
5008643,t,15,45,75,281
5009652,t,0,18,48,281
6011027,t,1,12,20,261
6017900,t,30,52,72,255
6025752,t,12,25,37,247
6027245,t,29,56,86,361
6029395,t,1,1,1,1
6051047,t,0,7,17,212
6076851,f,0,0,0,0
6086669,t,16,19,24,221
6086770,t,29,59,89,364
6116557,t,27,57,87,362
5017876,t,30,60,90,356
6120374,t,0,0,0,66
6125585,t,0,0,0,66
6126278,t,0,0,0,67
6126597,t,0,0,0,67
6127893,t,0,0,0,66
6134963,t,2,2,2,18
6146507,t,28,58,88,178
6151673,t,14,25,39,246
5042881,t,0,0,0,0
5077724,t,25,33,50,216
5083905,t,5,8,17,226
5091142,t,0,0,0,53
5093433,t,18,24,35,240
5111728,t,0,0,0,53
6151900,t,16,29,33,287
6152236,t,9,31,59,309
6152287,t,17,32,55,317
6167473,t,6,14,35,206
6184227,,0,0,0,0
6184486,t,21,31,42,213
6197372,t,27,57,87,177
6197695,t,0,0,0,67
6205000,,0,0,0,0
5112063,t,0,0,0,142
5112439,t,0,0,0,67
5112631,t,0,0,0,189
5112992,t,0,0,0,53
5113224,t,0,0,0,52
5116080,t,30,60,90,355
5129962,t,30,60,90,303
5190799,t,14,29,46,321
5198481,t,0,0,0,0
5202443,t,29,54,81,296
6207399,t,0,0,0,0
6226734,t,27,50,71,290
6230430,t,18,25,35,186
6234120,t,26,47,71,329
6252349,t,29,53,78,353
6265857,t,9,14,14,28
6272914,t,0,16,46,272
6284249,,0,0,0,0
6296779,t,7,37,64,330
5219004,t,1,1,1,1
5237978,t,1,12,17,148
5266672,t,0,0,0,0
5270632,t,7,7,7,71
5283892,t,7,12,21,235
5291799,t,8,15,25,277
5296858,t,23,33,63,326
5312175,t,14,26,36,286
5316637,t,30,58,88,347
6299220,t,25,46,71,335
6303739,t,0,0,0,0
6314015,t,28,54,84,359
6316649,t,0,0,0,0
6340779,t,0,0,0,66
6376990,t,4,10,17,198
6377183,t,3,7,8,172
6381549,t,13,14,29,193
6387921,t,26,44,74,164
6389332,t,9,13,16,186
5317199,t,11,17,28,235
5326623,t,14,17,18,89
5332449,t,0,0,0,0
5351789,t,18,39,69,312
5405099,t,11,26,38,286
5465136,t,0,0,0,57
5473921,t,9,26,45,315
5495303,t,2,7,11,88
5496215,t,30,60,90,365
5523392,t,12,16,32,188
5524457,t,17,21,24,94
6408219,t,6,11,18,244
6410185,t,12,14,27,153
6429358,t,29,41,70,238
6430764,t,4,4,12,226
6431078,t,2,4,9,218
6442433,t,1,1,1,1
6451156,t,5,8,14,94
6456563,t,9,17,28,279
6833840,t,0,0,0,0
6835187,t,0,0,0,0
6836536,t,10,11,15,173
6837456,t,15,20,27,165
6851253,t,20,33,43,243
6851644,t,2,5,7,200
6462610,t,0,0,0,43
6462808,,0,0,0,0
6465708,t,0,0,0,0
6471470,f,0,0,0,0
6473474,t,0,0,0,0
6476113,t,14,24,36,300
6480040,t,2,5,15,88
6491651,t,0,0,0,0
6500420,t,30,60,90,364
6537835,t,23,46,61,316
6852803,t,27,52,69,278
6852990,t,0,0,0,0
6859519,t,22,41,63,273
6868273,t,1,1,1,1
6543510,t,29,53,76,343
6575177,t,8,13,24,284
6589141,t,17,47,77,348
6589914,t,19,34,51,132
6594422,t,21,51,81,337
6595523,t,8,11,19,19
6595908,t,19,35,50,167
6609876,t,25,37,48,323
6870687,f,0,0,0,0
6870724,f,0,0,0,0
6871500,t,22,33,43,193
6618221,t,0,0,0,0
6627231,t,3,20,41,307
6630980,t,0,0,0,0
6637885,t,17,27,43,207
6652840,t,11,11,11,11
6660703,t,7,9,15,184
6675919,t,6,17,39,269
6885057,,0,0,0,0
6909394,f,0,0,0,0
6909910,t,17,42,70,345
6911403,t,17,42,70,341
6912209,,0,0,0,0
6928820,t,28,41,53,246
6930074,t,28,57,57,57
6944463,t,25,37,62,240
6944540,t,8,29,59,266
6945437,t,15,32,51,299
6686037,t,30,51,81,349
6697230,t,14,35,52,196
6701745,t,9,12,23,283
6711965,t,0,0,0,67
6715214,t,4,10,14,126
6715746,t,22,40,65,133
6723260,t,27,44,74,254
6725928,t,14,29,43,201
6730285,t,0,0,0,0
6737465,t,0,0,0,0
6988711,t,20,43,62,281
7001107,t,28,58,88,305
6737941,t,11,25,37,219
6738284,t,0,0,0,0
6740999,,0,0,0,0
6752658,t,1,1,1,1
6765801,t,30,60,86,361
6779149,t,11,15,34,203
6783890,t,0,0,0,15
6793409,t,16,32,60,270
6808963,t,19,21,29,116
7028256,t,26,29,29,116
7030238,,0,0,0,0
7034877,t,7,10,17,209
7035559,t,0,0,0,0
7051999,t,20,39,59,290
7317687,,0,0,0,0
7317863,t,0,0,0,0
7326133,t,0,0,0,0
7326803,t,19,26,26,26
7326936,t,19,26,26,26
7327092,t,17,25,45,158
7336904,,0,0,0,0
7339402,t,0,1,6,281
7358058,t,19,37,64,264
